transcript,most_common,YAKE!,TextRank,SingleRank,TopicRank,TopicalPageRank,PositionRank,MultipartiteRank
"Carefully palpate the individual lymph node stations. To facilitate differentiation between lymph nodes and muscles, the area that is palpated should be as relaxed as possible. Every palpable lymph node is considered enlarged. If there is enlargement, pay attention to consistency, tenderness, mobility, the number of enlarged lymph nodes, and any erythema in the affected area
","['lymph', 'node', 'nodes']","['Carefully palpate', 'node stations', 'lymph']","['individual lymph node stations', 'enlarged lymph nodes', 'palpable lymph node']","['enlarged lymph nodes', 'individual lymph node stations', 'palpable lymph node']","['individual lymph node stations', 'area', 'tenderness']","['enlarged lymph nodes', 'individual lymph node stations', 'palpable lymph node']","['enlarged lymph nodes', 'palpable lymph node', 'lymph nodes']","['individual lymph node stations', 'differentiation', 'area']"
"Dr. Ellen Slawsby, an assistant clinical professor of psychiatry at Harvard Medical School, said that she has a bunch of tactics for controlling pain with both the mind and body combined. Like the meditators do, she said controlling your breathing might help a lot. It’s simple to do. Just sit down and take breaths and concentrate on those breaths. It’s just you and your breathing. It’s sometimes called “controlled-breathing.” The New York Times writes that this is an ancient practice and has been proven to not only help with pain but to also to increase alertness and boost a person’s immune system. Here’s a snippet from that story: “Consciously changing the way you breathe appears to send a signal to the brain to adjust the parasympathetic branch of the nervous system, which can slow heart rate and digestion and promote feelings of calm as well as the sympathetic system, which controls the release of stress hormones like cortisol.” It sounds crazy, but one doctor who was interviewed said he had seen some of his patients transformed by simply taking some time each day to breathe in, pause, breathe out. Ok, we know that if you didn’t do that all day you’d die, but we are talking about a kind of focused breathing here, not the unconscious kind.
","['said', 'do', 'breathing']","['Ellen Slawsby', 'Medical School', 'Harvard Medical']","['new york times', 'harvard medical school', 'assistant clinical professor']","['new york times', 'nervous system', 'sympathetic system']","['immune system', 'breathing', 'pain']","['new york times', 'focused breathing', 'immune system']","['dr. ellen slawsby', 'assistant clinical professor', 'harvard medical school']","['breathing', 'immune system', 'pain']"
"The experts tell us that mindfulness and positive thinking go a long way to helping reduce pain. People often think of the pain as a whole, like it’s all over them and it will never go away. What they should do is focus on the area of the pain and then try and understand what kind of pain it is, whether a burning sensation or a throbbing sensation or something else. They should then treat it with kindness as if they were nurturing a child in pain. Once you know the area of the pain you can also then concentrate on a part of your body that isn’t in pain. Try your hardest to focus all your attention on that area. Breathe in and breathe out, and see how long you can focus your thoughts on the non-painful part of the body. You could do this outside with the sun shining on you. You will feel the rays warm parts of your body. Focusing on other stimuli other than the pain helps manage the pain. If anything at all can distract you from your pain then look to that thing. You might try breathing exercises, but you might also just put yourself in a position where external stimulus takes your mind off the pain. You can practice the art of being distracted. Drug addicts in their numbers have talked about how just getting up and doing something helped them to deal with the pain of withdrawal.
","['pain', 'then', 'can']","['pain', 'positive thinking', 'helping reduce']","['rays warm parts', 'other stimuli other', 'drug addicts']","['pain', 'other stimuli other', 'rays warm parts']","['pain', 'area', 'body']","['pain', 'positive thinking', 'long way']","['pain', 'positive thinking', 'long way']","['pain', 'area', 'mindfulness']"
"Carpal Tunnel Syndrome is a pinched nerve in the wrist. The nerve pinching is right here and you will actually get tinkling, burning, achiness, a deep boring type of pain in the thumb, the first finger, the second finger, the middle finger and half of the ring finger. Carpal tunnel syndrome will not give you numbness in the little finger. Very often sometimes if the nerve is pinched up a little higher or more proximal you will get a palm type of tinkling too. The symptoms will usually be from some type of repetitive motion, where you are typing or are sleeping in a funny position or you have a job where there is a lot of vibration to the wrist. In addition to this most of the time people complain about symptoms at night, because for some reason we are resting or are sleeping like this.
","['finger', 'will', 'nerve']","['Tunnel Syndrome', 'Carpal Tunnel', 'finger']","['little finger', 'ring finger', 'middle finger']","['first finger', 'middle finger', 'ring finger']","['second finger', 'deep boring type', 'nerve']","['first finger', 'middle finger', 'second finger']","['carpal tunnel syndrome', 'ring finger', 'middle finger']","['second finger', 'deep boring type', 'nerve']"
"Here I've used red marker to simulate a volar pulp injury and I will show you how to put the dressing on. So I used the IV 3000 dressing by Smith & Nephew because of its semi-porous capability it makes a nice wound dressing. I go ahead and take of the covering. I have the patient lift their finger up and place it down. I do not take it proximal to the PIP joint and this will enable the patient to move their finger afterward. So I've placed the IV 3000 down first and put their finger on it and then I take another IV 3000 and I will place this over the wound, again proximal to the PIP joint and I'll simply sandwich the IV 3000's together and then remove the tougher outer covering on the dressing. Once I have this removed it's very soft and I'll be able to fold this up and then cover with a band-aid and the patient can shower with this on. And I generally have them change it every three days at home. And you'll see after I put the band-aid on the patient will be able to move their finger. And it maintains the range motion which some of the flaps are unable to do.
","['will', 'dressing', 'iv']","['red marker', 'volar pulp', 'pulp injury']","['tougher outer covering', 'nice wound dressing', 'volar pulp injury']","['nice wound dressing', 'volar pulp injury', 'tougher outer covering']","['patient', 'dressing', 'finger']","['nice wound dressing', 'pip joint', 'tougher outer covering']","['volar pulp injury', 'red marker', 'nice wound dressing']","['patient', 'dressing', 'finger']"
"Clean the area where you will set out your supplies. Place a clean towel over the work area and open the packages of the supplies you will need. Place the supplies on the work surface. Clean tweezers and sissors with alcohol and place on the clean work area. Cut pieces of tape longer that the length and width of the wound to secure the dressing. Hang one side of the tape from the edge of a table or workspace until needed. Wash hands with soap and water if they are soiled or use a 60% alcohol-based hand gel before touching your wound or drain. Remove the old dressing and packing material by covering your hand with a plastic bag or a glove. Check for drainage or odor and discard the dressing and glove. Re-apply hand gel and put on clean gloves. Inspect the wound and check for any signs of infection such as redness, swelling and odor. Remove some packing material from the package with the tweezers and use scissors to cut the right length. Use a cotton swab to gently push the packing material into the wound and fill the wound's space. Leave a small tail of packing material out of the package and close the container. The next time you use the packing material you will cut of the tail and start with fresh material. Open the package of outer dressing material and place enough dressing over the packing and wound site to completely cover the wound and absorb the drainage.  Tape the outer dressing in place or wrap bandage to hold the dressing in place. Remove your gloves and place in the plastic waste bag with any old dressings that were removed.
","['place', 'dressing', 'material']","['packing material', 'dressing', 'Place']","['clean work area', 'outer dressing material', '% alcohol-based hand gel']","['outer dressing material', 'place enough dressing', 'packing material']","['dressing', 'wound', 'packing material']","['outer dressing material', 'packing material', 'clean work area']","['clean work area', 'work area', 'outer dressing material']","['dressing', 'wound', 'packing material']"
"What you should do: support injury, pass triangular bandage under arm, bring top end around shoulder, bring loose end up to meet it, tie using a reef knot, twist and tuck corner
","['bring', 'end', 'what']","['support injury', 'pass triangular', 'reef knot']","['loose end', 'top end', 'tuck corner']","['top end', 'loose end', 'reef knot']","['twist', 'triangular bandage', 'arm']","['top end', 'loose end', 'triangular bandage']","['top end', 'loose end', 'triangular bandage']","['twist', 'triangular bandage', 'arm']"
"Somebody who can bend their elbow, rib injuries
","['somebody', 'who', 'can']","['rib injuries', 'elbow', 'rib']","['rib injuries', 'elbow']","['rib injuries', 'elbow']","['elbow', 'rib injuries']","['rib injuries', 'elbow']","['rib injuries', 'elbow']","['elbow', 'rib injuries']"
"A simple test of this, what I want you guys to do is stand up right now. Just stand normal where you're at and put your thumbs forward. So stand up and put your thumbs forward and you can see that if I stand here - with you know relatively good posture - my thumbs are kinda angled towards you, they are angled towards that camera. That's where they should be, however you'll see that if I have poor posture, if I just cram my shoulders forwards slightly, now I point my thumbgs you can see that they are actually pointed at each other. Ok, so it's just a really quick simple test that you can do to diagnose where you are at in the posture spectrum.
","['stand', 'just', 'where']","['thumbs forward', 'stand', 'simple test']","['quick simple test', 'posture spectrum', 'poor posture']","['quick simple test', 'poor posture', 'good posture']","['good posture', 'thumbs', 'simple test']","['quick simple test', 'good posture', 'poor posture']","['quick simple test', 'simple test', 'guys']","['thumbs', 'good posture', 'simple test']"
"What you're going to do is grab your foam roller. This is probably my favorite piece of equipment that I have in my physical therapy clinic. We use this for quite a few problems. This is one of my favorite things to use with the foam roller is actually these postural issues. So this foam roller is thirty-six inches long and it's a six inch diameter. So it's a thirty-six by six. I'll actually leave a link to that up in the description to this video. Click on that if you don't have one. It's a great tool. It's something that I use all the time. And so what I want you to do with your foam roller is lay it down on the ground and then you're going to sit down on the end of it and lay it the length of your spine.So it's going all the way basicallyfrom your tailbone up to your head.What you should feel here is just a stretch throughout the front of the chest, front of the shoulders, as the shoulder blades kind of round down towards the ground. It's just a great way to get out of that forward, kind of rounded shoulders posture. Now, what I want you to do is simply grab a towel with both your hands and then you're going to take that towel up andover your head just as far as you can take it. Knuckles all the way down to the ground. If you can get there, I don't want any shoulder pain going on while you're doing this. And then, nice and slow, return back to that starting position. Now, in my clinic, what I'll do is I'll seta two minute timer, and this is the amount oftime that I want you to do this for. You're going to hold it over your head for about a ten second count and then return back down to your hips. Now, a towel works well. I've got some golf clubs in my clinic, so I use a golf club with this. You can also use a broom or a mop or a towel, whatever you might have lying around your house works well. Everyone has a towel and so that's why I use that in this video for this demonstration. Now, again, the idea here is that we want to lengthen out specifically that PEC minor and that PEC major. As we're coming up into this kind of externally rotated and elevated position. Again, we're going to get out of kind of this forward, rounded posture, and we're going to help to facilitate this type of emotion, getting back, opening up the chest, opening up the shoulders, getting back up into here.I love that foam roller for that.
","['going', 'up', 'use']","['foam roller', 'foam', 'roller']","['rounded shoulders posture', 'thirty-six inches long', 'physical therapy clinic']","['foam roller', 'rounded shoulders posture', 'physical therapy clinic']","['towel', 'foam roller', 'head']","['great way', 'foam roller', 'rounded shoulders posture']","['foam roller', 'physical therapy clinic', 'favorite piece']","['foam roller', 'towel', 'shoulders']"
